Website,PRODUCT PRICE,DISCOUNT,PRODUCT RATE,BRAND NAME,PRODUCT LINK
JUMIA,EGP 85.00,29%,4.7 out of 5,Honor Choice Earbuds X Silicone Protective Cover (BlACK ),https://www.jumia.com.eg/honor-choice-earbuds-x-silicone-protective-cover-black-generic-mpg880942.html
JUMIA,EGP 290.00,55%,4.3 out of 5,Door Bar Gym - 100 Kg,https://www.jumia.com.eg/door-bar-gym-120-kg-generic-mpg113535.html
JUMIA,EGP 350.00,No Discount found,5 out of 5,Junior Baby Girls Set,https://www.jumia.com.eg/junior-baby-girls-set-49091432.html
JUMIA,"EGP 8,400.00",Shipped from abroad,No Rate found,Oem Automatically Deal Cards Machine - V3,https://www.jumia.com.eg/oem-automatically-deal-cards-machine-v3-50613420.html
JUMIA,EGP 47.00,Shipped from abroad,No Rate found,Magnetic Metal Earphones Super Bass Stereo Earbuds Sweatproof Headsets Earsets,https://www.jumia.com.eg/generic-magnetic-metal-earphones-super-bass-stereo-earbuds-sweatproof-headsets-earsets-19353871.html
JUMIA,EGP 106.00,No Discount found,4 out of 5,JSAUX USB C To USB A Cable CC0001 1mblack,https://www.jumia.com.eg/jsaux-usb-c-to-usb-a-cable-cc0001-1mblack-48611385.html
JUMIA,EGP 390.00,35%,5 out of 5,Disney Cinderella Girl Pajama,https://www.jumia.com.eg/disney-cinderella-girl-pajama-34388960.html
JUMIA,EGP 20.00,Out of Stock,4.7 out of 5,Sofra Roasted Bags – Large – 5 PCs,https://www.jumia.com.eg/roasted-bags-large-5-pcs-sofra-mpg859880.html
NOON,EGP No price found,No Discount found,No Rate found,No Name found,No Link found
NOON,"EGP 1,799",10% Off,4.2,JOYROOM 220.0mAh Classic Series ……,https://www.noon.com/egypt-en/220-0-mah-classic-series-waterproof-ip68-call-function-health-monitoring-hd-display-smart-watch-220mah-with-leather-straps-black/N53379990A/p/?o=dc3567125a3c71dc&gclid=Cj0KCQiAhomtBhDgARIsABcaYylLRnSwoSrKZbbdAAkG5BRn1KaidgQ2f6hww7II-QZy8OIkzKj5l4AaAnbbEALw_wcB&utm_campaign=C1000151355N_eg_en_web_searchxxexactandphrasexxbrandpurexx08082022_noon_web_c1000088l_acquisition_sembranded_&utm_medium=cpc&utm_source=C1000088L
NOON,EGP 749,42% Off,3.8,"realme Techlife WatchSz100 1.69"" Hd Displ……",https://www.noon.com/egypt-en/techlife-watch-sz100-1-69-hd-display-with-temperature-sensor-smartwatch-gray-strap-free-size-grey/N53376354A/p/?o=db7d30182e94532d&gclid=Cj0KCQiAhomtBhDgARIsABcaYylLRnSwoSrKZbbdAAkG5BRn1KaidgQ2f6hww7II-QZy8OIkzKj5l4AaAnbbEALw_wcB&utm_campaign=C1000151355N_eg_en_web_searchxxexactandphrasexxbrandpurexx08082022_noon_web_c1000088l_acquisition_sembranded_&utm_medium=cpc&utm_source=C1000088L
NOON,"EGP 1,125",40% Off,No Rate found,W&O X9 ULTRA 2Series 9 Wearfit Pro ……,https://www.noon.com/egypt-en/x9-ultra-2-series-9-wearfit-pro-2024-smartwatch-2-2-inch-super-amoled-display-480x320-open-ai-chat-gpt-gps-nfc-bluetooth-v5-call-wireless-charger-black/ZFC9798ACAF25E153002FZ/p/?o=zfc9798acaf25e153002fz-1&gclid=Cj0KCQiAhomtBhDgARIsABcaYylLRnSwoSrKZbbdAAkG5BRn1KaidgQ2f6hww7II-QZy8OIkzKj5l4AaAnbbEALw_wcB&utm_campaign=C1000151355N_eg_en_web_searchxxexactandphrasexxbrandpurexx08082022_noon_web_c1000088l_acquisition_sembranded_&utm_medium=cpc&utm_source=C1000088L
